arabic,english
وعدني توم بانه سيكون هنا قبل 230,tom promised to be here before 230
لم يعودوا الي المنزل بعد,they havent come back home yet
داوم,go on
لست جاسوسا اليس كذلك,you arent a spy are you
كان من المفترض ان اخبر توم اين عليه الذهاب,i was supposed to tell tom where to go
هل ما زال ذلك الحليب صالحا للشرب,is that milk still good
اصبحت الكره معه,he got the ball
انا اعلم انك غني,i know you are rich
متي تخلد الي النوم عاده,what time do you usually go to bed
لا شيء في بالي للكتابه عنه,i cant think of anything to write about
اين رايت توم,where did you see tom
اقلعت عن التدخين,im giving up smoking
ملات كيسها بالتفاح,she filled her bag with apples
حلمها هو ان تصبح ممرضه,her dream is to become a nurse
توم يرقد في الفراش محموما,tom is in bed with a fever
توم اقترح هذا,tom suggested it
انه يوظف خادمه,he employs a maid
هل انت متاكد اننا نسير في الاتجاه الصحيح,are you sure were going in the right direction
لم ترن ساعتي المنبهه هذا الصباح,my alarm clock didnt go off this morning
هل تذوقت الارز,did you taste the rice
لم يقرا توم اي رساله ارسلتها ماري اليه,tom didnt read any of the messages mary sent to him
و كيف لي ان اعلم,how should i know
لا تقطع هذه الاشجار,dont cut down those trees
بقي الاولاد هادئين,the boys kept quiet
انت عار,youre not dressed
هل سلمت تقريرك,have you turned in your report
لنلعب التنس بعد انتهاء الدراسه,lets play tennis after school
من ذلك الرجل الذي يعزف علي البيانو,who is the man playing the piano
ستشعر بتحسن اذا تناولت هذه الحبوب,youll feel better if you take these pills
الكل ضحك عليه,everyone laughed at him
لقد فعل ما وعد ان يقوم به,he did what he promised to do
لدي ثلاث اولاد خاله,i have three cousins on my mothers side
يمكنني القفز,i can jump
اخبرني انه ذاهب الي امريكا,he told me he was going to america
من الافضل ان لا تكثر من الاكل,you had better not eat too much
كم شخصا دعوت الي الحفله,how many people did you invite to your party
لنبدا علي الفور,lets get started right away
لم يشجعها احد,nobody encouraged her
ما الذي جعلك تعتقد ذلك,what led you to believe that
لا استطيع ان اشكرك كفايه,i cant thank you enough
كيف توم,hows tom
اقلعت عن التدخين منذ سته اشهر,i gave up smoking six months ago
ظلت جريمه القتل لغزا,the murder remains a mystery
متي يمكننا الاكل,when can we eat
افتح الراديو,turn on the radio
سيزور الرئيس الفرنسي اليابان الشهر المقبل,the french president is to visit japan next month
لم يترجم هذا الكتاب الي الفرنسيه بعد,this book hasnt yet been translated into french
هل غسلت السياره,have you washed the car yet
لا يوجد ما يدعو للاعتذار,there is nothing to apologize for
السرقه خطا,it is wrong to steal
لي صديق اباه ممثل مشهور,i have a friend whose father is a famous actor
اليابان بلد صناعي,japan is an industrial country
اعتقله الشرطي لقيادته تحت تاثير الكحول,the policeman arrested him for drunken driving
طعمت من الانفلونزا,i was vaccinated against the flu
هل عندك الفاتوره,do you have a receipt
توم مجتهد ويمكن الاعتماد عليه,tom is hardworking and dependable
رجال و نساء قاتلوا للدفاع عن وطنهم,young men and women fought to defend their country
كان هناك حوالي عشرين دولارا,it was about twenty dollars
الموسيقي لغه عالميه,music is a universal language
نحن ناكل التفاح,were eating apples
دعني و شاني,leave me alone
ما اسمك,whats your name
اريد ان اصير دكتورا,i want to become a doctor
كادت ان تصدمني سياره,i was nearly hit by a car
اعترف اني كنت مخطئا,i admit that i was wrong
امل ان تتحقق احلامي,i hope my dream will come true
انا امراه,im a woman
قتل ذلك الرجل,he killed that man
توجد سله تحت الطاوله,there is a basket under the table
كان متفوقا في الموسيقي حتي في طفولته,he excelled in music even as a child
اهلا و سهلا,welcome
انا احب ابي,i love my dad
هل انت حزينه,are you sad
اعلم بانك لا تصدقني,i know you dont believe me
توم يفهم,tom understands
وصل توم حوالي 230,tom arrived around 230
اخبرني ما الذي حدث,tell me what happened
لربما قد سبق و قلت لي ذلك,you might have told me
يجب عليك ممارسه الرياضه,you should exercise
انه وقت العوده للعمل,its time to get back to work
هذا بيته,that house belongs to him
هل تذكر اليوم الذي راينا فيه الحادث,do you remember the day when we saw the accident
صنعت لي امي تنوره جميله,my mother made me a cute skirt
لا اعرف اذا كان لدي الوقت الكافي لذلك,i dont know if i have the time
احب هذه الصوره,i love this picture
اسكتناهم,we kept them quiet
انظر الي هذا,look at that
انه يحب القهوه من دون سكر,he likes coffee without sugar
لا يمكنها عزف البيانو بتلك المهاره,she cant play piano very well
عليك ان تبقي غرفتك نظيفه,you must keep your room clean
فقدت ثقتي فيه,i lost my trust in him
حضر المؤتمر مئه و خمسون دبلوماسي,a hundred and fifty diplomats came to that conference
هذا ما يشعرني بالسعاده,thats what makes me happy
اذكر اني سمعت قصه مشابهه,i remember hearing a very similar story to that
هل يمكنك اعارتي قاموسك,will you lend me your dictionary
هل يستطيع احد مساعدتي سافعل,can somebody help me i will
اري انك تعمل,i can see that you are working
الجو ممطر,it is raining
